2025-11-06T00:00,NaN,NaN
2025-11-06T01:00,NaN,NaN
2025-11-06T02:00,NaN,NaN
2025-11-06T03:00,NaN,NaN
2025-11-06T04:00,NaN,NaN
2025-11-06T05:00,NaN,NaN
2025-11-06T06:00,NaN,NaN
2025-11-06T07:00,NaN,NaN
2025-11-06T08:00,63.0,39.5
2025-11-06T09:00,156.0,67.0
2025-11-06T10:00,185.2,110.0
2025-11-06T11:00,204.8,130.5
2025-11-06T12:00,242.0,114.2
2025-11-06T13:00,235.8,97.2
2025-11-06T14:00,69.8,122.2
2025-11-06T15:00,68.2,66.8
2025-11-06T16:00,NaN,NaN
2025-11-06T17:00,NaN,NaN
2025-11-06T18:00,NaN,NaN
2025-11-06T19:00,NaN,NaN
2025-11-06T20:00,NaN,NaN
2025-11-06T21:00,NaN,NaN
2025-11-06T22:00,NaN,NaN
2025-11-06T23:00,NaN,NaN
2025-11-07T00:00,NaN,NaN
2025-11-07T01:00,NaN,NaN
2025-11-07T02:00,NaN,NaN
2025-11-07T03:00,NaN,NaN
2025-11-07T04:00,NaN,NaN
2025-11-07T05:00,NaN,NaN
2025-11-07T06:00,NaN,NaN
2025-11-07T07:00,NaN,NaN
2025-11-07T08:00,78.0,28.2
2025-11-07T09:00,169.2,56.2
2025-11-07T10:00,230.2,80.2
2025-11-07T11:00,319.2,60.2
2025-11-07T12:00,NaN,NaN
2025-11-07T13:00,NaN,NaN
2025-11-07T14:00,NaN,NaN
2025-11-07T15:00,NaN,NaN
2025-11-07T16:00,NaN,NaN
2025-11-07T17:00,NaN,NaN
2025-11-07T18:00,NaN,NaN
2025-11-07T19:00,NaN,NaN
2025-11-07T20:00,NaN,NaN
2025-11-07T21:00,NaN,NaN
2025-11-07T22:00,NaN,NaN
2025-11-07T23:00,NaN,NaN